"AGE","NAME","POP","FIPS","time","SEX","abs_pop"
0,"Japan",-629137,"JA",1990,"Male",629137
1,"Japan",-653927,"JA",1990,"Male",653927
2,"Japan",-676365,"JA",1990,"Male",676365
3,"Japan",-694834,"JA",1990,"Male",694834
4,"Japan",-711594,"JA",1990,"Male",711594
5,"Japan",-743357,"JA",1990,"Male",743357
6,"Japan",-764834,"JA",1990,"Male",764834
7,"Japan",-771359,"JA",1990,"Male",771359
8,"Japan",-775894,"JA",1990,"Male",775894
9,"Japan",-793024,"JA",1990,"Male",793024
10,"Japan",-824538,"JA",1990,"Male",824538
11,"Japan",-849357,"JA",1990,"Male",849357
12,"Japan",-881076,"JA",1990,"Male",881076
13,"Japan",-910003,"JA",1990,"Male",910003
14,"Japan",-956733,"JA",1990,"Male",956733
15,"Japan",-1002411,"JA",1990,"Male",1002411
16,"Japan",-1048222,"JA",1990,"Male",1048222
17,"Japan",-1053125,"JA",1990,"Male",1053125
18,"Japan",-1031239,"JA",1990,"Male",1031239
19,"Japan",-1002718,"JA",1990,"Male",1002718
20,"Japan",-975012,"JA",1990,"Male",975012
21,"Japan",-946102,"JA",1990,"Male",946102
22,"Japan",-928321,"JA",1990,"Male",928321
23,"Japan",-873477,"JA",1990,"Male",873477
24,"Japan",-764423,"JA",1990,"Male",764423
25,"Japan",-876930,"JA",1990,"Male",876930
26,"Japan",-827655,"JA",1990,"Male",827655
27,"Japan",-806381,"JA",1990,"Male",806381
28,"Japan",-785066,"JA",1990,"Male",785066
29,"Japan",-779390,"JA",1990,"Male",779390
30,"Japan",-788373,"JA",1990,"Male",788373
31,"Japan",-796708,"JA",1990,"Male",796708
32,"Japan",-777423,"JA",1990,"Male",777423
33,"Japan",-773718,"JA",1990,"Male",773718
34,"Japan",-815352,"JA",1990,"Male",815352
35,"Japan",-840563,"JA",1990,"Male",840563
36,"Japan",-854358,"JA",1990,"Male",854358
37,"Japan",-908836,"JA",1990,"Male",908836
38,"Japan",-965784,"JA",1990,"Male",965784
39,"Japan",-1033009,"JA",1990,"Male",1033009
40,"Japan",-1120551,"JA",1990,"Male",1120551
41,"Japan",-1204200,"JA",1990,"Male",1204200
42,"Japan",-1187998,"JA",1990,"Male",1187998
43,"Japan",-1041311,"JA",1990,"Male",1041311
44,"Japan",-732796,"JA",1990,"Male",732796
45,"Japan",-814467,"JA",1990,"Male",814467
46,"Japan",-934821,"JA",1990,"Male",934821
47,"Japan",-922549,"JA",1990,"Male",922549
48,"Japan",-942179,"JA",1990,"Male",942179
49,"Japan",-903457,"JA",1990,"Male",903457
50,"Japan",-816132,"JA",1990,"Male",816132
51,"Japan",-749677,"JA",1990,"Male",749677
52,"Japan",-797362,"JA",1990,"Male",797362
53,"Japan",-820443,"JA",1990,"Male",820443
54,"Japan",-818989,"JA",1990,"Male",818989
55,"Japan",-784315,"JA",1990,"Male",784315
56,"Japan",-760432,"JA",1990,"Male",760432
57,"Japan",-761672,"JA",1990,"Male",761672
58,"Japan",-747556,"JA",1990,"Male",747556
59,"Japan",-720989,"JA",1990,"Male",720989
60,"Japan",-689967,"JA",1990,"Male",689967
61,"Japan",-670914,"JA",1990,"Male",670914
62,"Japan",-647604,"JA",1990,"Male",647604
63,"Japan",-621163,"JA",1990,"Male",621163
64,"Japan",-588531,"JA",1990,"Male",588531
65,"Japan",-535933,"JA",1990,"Male",535933
66,"Japan",-469592,"JA",1990,"Male",469592
67,"Japan",-415066,"JA",1990,"Male",415066
68,"Japan",-382393,"JA",1990,"Male",382393
69,"Japan",-363408,"JA",1990,"Male",363408
70,"Japan",-355576,"JA",1990,"Male",355576
71,"Japan",-303495,"JA",1990,"Male",303495
72,"Japan",-305034,"JA",1990,"Male",305034
73,"Japan",-297920,"JA",1990,"Male",297920
74,"Japan",-289969,"JA",1990,"Male",289969
75,"Japan",-275025,"JA",1990,"Male",275025
76,"Japan",-261646,"JA",1990,"Male",261646
77,"Japan",-240438,"JA",1990,"Male",240438
78,"Japan",-220126,"JA",1990,"Male",220126
79,"Japan",-196869,"JA",1990,"Male",196869
80,"Japan",-178014,"JA",1990,"Male",178014
81,"Japan",-155771,"JA",1990,"Male",155771
82,"Japan",-134749,"JA",1990,"Male",134749
83,"Japan",-113738,"JA",1990,"Male",113738
84,"Japan",-88928,"JA",1990,"Male",88928
85,"Japan",-77504,"JA",1990,"Male",77504
86,"Japan",-64939,"JA",1990,"Male",64939
87,"Japan",-54669,"JA",1990,"Male",54669
88,"Japan",-43232,"JA",1990,"Male",43232
89,"Japan",-33491,"JA",1990,"Male",33491
90,"Japan",-24118,"JA",1990,"Male",24118
91,"Japan",-17911,"JA",1990,"Male",17911
92,"Japan",-12902,"JA",1990,"Male",12902
93,"Japan",-8866,"JA",1990,"Male",8866
94,"Japan",-6065,"JA",1990,"Male",6065
95,"Japan",-4123,"JA",1990,"Male",4123
96,"Japan",-2577,"JA",1990,"Male",2577
97,"Japan",-1538,"JA",1990,"Male",1538
98,"Japan",-912,"JA",1990,"Male",912
99,"Japan",-538,"JA",1990,"Male",538
100,"Japan",-639,"JA",1990,"Male",639
0,"Japan",-633327,"JA",1991,"Male",633327
1,"Japan",-627993,"JA",1991,"Male",627993
2,"Japan",-652797,"JA",1991,"Male",652797
3,"Japan",-675360,"JA",1991,"Male",675360
4,"Japan",-693869,"JA",1991,"Male",693869
5,"Japan",-711355,"JA",1991,"Male",711355
6,"Japan",-743300,"JA",1991,"Male",743300
7,"Japan",-764796,"JA",1991,"Male",764796
8,"Japan",-771351,"JA",1991,"Male",771351
9,"Japan",-775912,"JA",1991,"Male",775912
10,"Japan",-793210,"JA",1991,"Male",793210
11,"Japan",-824764,"JA",1991,"Male",824764
12,"Japan",-849571,"JA",1991,"Male",849571
13,"Japan",-881259,"JA",1991,"Male",881259
14,"Japan",-910148,"JA",1991,"Male",910148
15,"Japan",-956537,"JA",1991,"Male",956537
16,"Japan",-1001962,"JA",1991,"Male",1001962
17,"Japan",-1047539,"JA",1991,"Male",1047539
18,"Japan",-1052302,"JA",1991,"Male",1052302
19,"Japan",-1030342,"JA",1991,"Male",1030342
20,"Japan",-1002303,"JA",1991,"Male",1002303
21,"Japan",-974749,"JA",1991,"Male",974749
22,"Japan",-945884,"JA",1991,"Male",945884
23,"Japan",-928165,"JA",1991,"Male",928165
24,"Japan",-873347,"JA",1991,"Male",873347
25,"Japan",-765110,"JA",1991,"Male",765110
26,"Japan",-877698,"JA",1991,"Male",877698
27,"Japan",-828507,"JA",1991,"Male",828507
28,"Japan",-807241,"JA",1991,"Male",807241
29,"Japan",-785911,"JA",1991,"Male",785911
30,"Japan",-779859,"JA",1991,"Male",779859
31,"Japan",-788752,"JA",1991,"Male",788752
32,"Japan",-797072,"JA",1991,"Male",797072
33,"Japan",-777750,"JA",1991,"Male",777750
34,"Japan",-774025,"JA",1991,"Male",774025
35,"Japan",-815185,"JA",1991,"Male",815185
36,"Japan",-840205,"JA",1991,"Male",840205
37,"Japan",-853896,"JA",1991,"Male",853896
38,"Japan",-908213,"JA",1991,"Male",908213
39,"Japan",-965013,"JA",1991,"Male",965013
40,"Japan",-1031899,"JA",1991,"Male",1031899
41,"Japan",-1119123,"JA",1991,"Male",1119123
42,"Japan",-1202432,"JA",1991,"Male",1202432
43,"Japan",-1186019,"JA",1991,"Male",1186019
44,"Japan",-1039452,"JA",1991,"Male",1039452
45,"Japan",-731317,"JA",1991,"Male",731317
46,"Japan",-812502,"JA",1991,"Male",812502
47,"Japan",-932146,"JA",1991,"Male",932146
48,"Japan",-919667,"JA",1991,"Male",919667
49,"Japan",-938911,"JA",1991,"Male",938911
50,"Japan",-899833,"JA",1991,"Male",899833
51,"Japan",-812576,"JA",1991,"Male",812576
52,"Japan",-746108,"JA",1991,"Male",746108
53,"Japan",-793067,"JA",1991,"Male",793067
54,"Japan",-815542,"JA",1991,"Male",815542
55,"Japan",-813529,"JA",1991,"Male",813529
56,"Japan",-778387,"JA",1991,"Male",778387
57,"Japan",-754034,"JA",1991,"Male",754034
58,"Japan",-754667,"JA",1991,"Male",754667
59,"Japan",-739984,"JA",1991,"Male",739984
60,"Japan",-713160,"JA",1991,"Male",713160
61,"Japan",-681765,"JA",1991,"Male",681765
62,"Japan",-662302,"JA",1991,"Male",662302
63,"Japan",-638654,"JA",1991,"Male",638654
64,"Japan",-611881,"JA",1991,"Male",611881
65,"Japan",-579156,"JA",1991,"Male",579156
66,"Japan",-526657,"JA",1991,"Male",526657
67,"Japan",-460742,"JA",1991,"Male",460742
68,"Japan",-406621,"JA",1991,"Male",406621
69,"Japan",-373838,"JA",1991,"Male",373838
70,"Japan",-354311,"JA",1991,"Male",354311
71,"Japan",-345676,"JA",1991,"Male",345676
72,"Japan",-294103,"JA",1991,"Male",294103
73,"Japan",-294495,"JA",1991,"Male",294495
74,"Japan",-286398,"JA",1991,"Male",286398
75,"Japan",-277500,"JA",1991,"Male",277500
76,"Japan",-261861,"JA",1991,"Male",261861
77,"Japan",-247660,"JA",1991,"Male",247660
78,"Japan",-226209,"JA",1991,"Male",226209
79,"Japan",-205364,"JA",1991,"Male",205364
80,"Japan",-181997,"JA",1991,"Male",181997
81,"Japan",-163111,"JA",1991,"Male",163111
82,"Japan",-141302,"JA",1991,"Male",141302
83,"Japan",-120798,"JA",1991,"Male",120798
84,"Japan",-100719,"JA",1991,"Male",100719
85,"Japan",-77850,"JA",1991,"Male",77850
86,"Japan",-66813,"JA",1991,"Male",66813
87,"Japan",-55235,"JA",1991,"Male",55235
88,"Japan",-45717,"JA",1991,"Male",45717
89,"Japan",-35526,"JA",1991,"Male",35526
90,"Japan",-26976,"JA",1991,"Male",26976
91,"Japan",-19023,"JA",1991,"Male",19023
92,"Japan",-13877,"JA",1991,"Male",13877
93,"Japan",-9799,"JA",1991,"Male",9799
94,"Japan",-6560,"JA",1991,"Male",6560
95,"Japan",-4351,"JA",1991,"Male",4351
96,"Japan",-2889,"JA",1991,"Male",2889
97,"Japan",-1757,"JA",1991,"Male",1757
98,"Japan",-1019,"JA",1991,"Male",1019
99,"Japan",-587,"JA",1991,"Male",587
100,"Japan",-708,"JA",1991,"Male",708
0,"Japan",-629466,"JA",1992,"Male",629466
1,"Japan",-631884,"JA",1992,"Male",631884
2,"Japan",-626594,"JA",1992,"Male",626594
3,"Japan",-651517,"JA",1992,"Male",651517
4,"Japan",-674112,"JA",1992,"Male",674112
5,"Japan",-693189,"JA",1992,"Male",693189
6,"Japan",-711374,"JA",1992,"Male",711374
7,"Japan",-743338,"JA",1992,"Male",743338
8,"Japan",-764860,"JA",1992,"Male",764860
9,"Japan",-771427,"JA",1992,"Male",771427
10,"Japan",-776127,"JA",1992,"Male",776127
11,"Japan",-793589,"JA",1992,"Male",793589
12,"Japan",-825134,"JA",1992,"Male",825134
13,"Japan",-849914,"JA",1992,"Male",849914
14,"Japan",-881558,"JA",1992,"Male",881558
15,"Japan",-910174,"JA",1992,"Male",910174
16,"Japan",-956096,"JA",1992,"Male",956096
17,"Japan",-1001302,"JA",1992,"Male",1001302
18,"Japan",-1046713,"JA",1992,"Male",1046713
19,"Japan",-1051382,"JA",1992,"Male",1051382
20,"Japan",-1029802,"JA",1992,"Male",1029802
21,"Japan",-1002274,"JA",1992,"Male",1002274
22,"Japan",-974751,"JA",1992,"Male",974751
23,"Japan",-945963,"JA",1992,"Male",945963
24,"Japan",-928240,"JA",1992,"Male",928240
25,"Japan",-874047,"JA",1992,"Male",874047
26,"Japan",-766587,"JA",1992,"Male",766587
27,"Japan",-879119,"JA",1992,"Male",879119
28,"Japan",-829968,"JA",1992,"Male",829968
29,"Japan",-808689,"JA",1992,"Male",808689
30,"Japan",-787075,"JA",1992,"Male",787075
31,"Japan",-780679,"JA",1992,"Male",780679
32,"Japan",-789554,"JA",1992,"Male",789554
33,"Japan",-797823,"JA",1992,"Male",797823
34,"Japan",-778495,"JA",1992,"Male",778495
35,"Japan",-774426,"JA",1992,"Male",774426
36,"Japan",-815091,"JA",1992,"Male",815091
37,"Japan",-839998,"JA",1992,"Male",839998
38,"Japan",-853562,"JA",1992,"Male",853562
39,"Japan",-907741,"JA",1992,"Male",907741
40,"Japan",-964262,"JA",1992,"Male",964262
41,"Japan",-1030820,"JA",1992,"Male",1030820
42,"Japan",-1117705,"JA",1992,"Male",1117705
43,"Japan",-1200642,"JA",1992,"Male",1200642
44,"Japan",-1183984,"JA",1992,"Male",1183984
45,"Japan",-1037375,"JA",1992,"Male",1037375
46,"Japan",-729700,"JA",1992,"Male",729700
47,"Japan",-810368,"JA",1992,"Male",810368
48,"Japan",-929276,"JA",1992,"Male",929276
49,"Japan",-916544,"JA",1992,"Male",916544
50,"Japan",-935260,"JA",1992,"Male",935260
51,"Japan",-895792,"JA",1992,"Male",895792
52,"Japan",-808660,"JA",1992,"Male",808660
53,"Japan",-742157,"JA",1992,"Male",742157
54,"Japan",-788399,"JA",1992,"Male",788399
55,"Japan",-810171,"JA",1992,"Male",810171
56,"Japan",-807522,"JA",1992,"Male",807522
57,"Japan",-771982,"JA",1992,"Male",771982
58,"Japan",-747222,"JA",1992,"Male",747222
59,"Japan",-747007,"JA",1992,"Male",747007
60,"Japan",-731848,"JA",1992,"Male",731848
61,"Japan",-704702,"JA",1992,"Male",704702
62,"Japan",-673004,"JA",1992,"Male",673004
63,"Japan",-653055,"JA",1992,"Male",653055
64,"Japan",-629009,"JA",1992,"Male",629009
65,"Japan",-602014,"JA",1992,"Male",602014
66,"Japan",-569082,"JA",1992,"Male",569082
67,"Japan",-516658,"JA",1992,"Male",516658
68,"Japan",-451276,"JA",1992,"Male",451276
69,"Japan",-397475,"JA",1992,"Male",397475
70,"Japan",-364558,"JA",1992,"Male",364558
71,"Japan",-344540,"JA",1992,"Male",344540
72,"Japan",-335054,"JA",1992,"Male",335054
73,"Japan",-284053,"JA",1992,"Male",284053
74,"Japan",-283290,"JA",1992,"Male",283290
75,"Japan",-274247,"JA",1992,"Male",274247
76,"Japan",-264410,"JA",1992,"Male",264410
77,"Japan",-248021,"JA",1992,"Male",248021
78,"Japan",-233185,"JA",1992,"Male",233185
79,"Japan",-211409,"JA",1992,"Male",211409
80,"Japan",-190210,"JA",1992,"Male",190210
81,"Japan",-167010,"JA",1992,"Male",167010
82,"Japan",-148212,"JA",1992,"Male",148212
83,"Japan",-126978,"JA",1992,"Male",126978
84,"Japan",-107154,"JA",1992,"Male",107154
85,"Japan",-88245,"JA",1992,"Male",88245
86,"Japan",-67202,"JA",1992,"Male",67202
87,"Japan",-56935,"JA",1992,"Male",56935
88,"Japan",-46312,"JA",1992,"Male",46312
89,"Japan",-37675,"JA",1992,"Male",37675
90,"Japan",-28750,"JA",1992,"Male",28750
91,"Japan",-21356,"JA",1992,"Male",21356
92,"Japan",-14755,"JA",1992,"Male",14755
93,"Japan",-10597,"JA",1992,"Male",10597
94,"Japan",-7318,"JA",1992,"Male",7318
95,"Japan",-4743,"JA",1992,"Male",4743
96,"Japan",-3069,"JA",1992,"Male",3069
97,"Japan",-1983,"JA",1992,"Male",1983
98,"Japan",-1173,"JA",1992,"Male",1173
99,"Japan",-661,"JA",1992,"Male",661
100,"Japan",-785,"JA",1992,"Male",785
0,"Japan",-619457,"JA",1993,"Male",619457
1,"Japan",-628143,"JA",1993,"Male",628143
2,"Japan",-630586,"JA",1993,"Male",630586
3,"Japan",-625440,"JA",1993,"Male",625440
4,"Japan",-650398,"JA",1993,"Male",650398
5,"Japan",-673528,"JA",1993,"Male",673528
6,"Japan",-693155,"JA",1993,"Male",693155
7,"Japan",-711354,"JA",1993,"Male",711354
8,"Japan",-743354,"JA",1993,"Male",743354
9,"Japan",-764880,"JA",1993,"Male",764880
10,"Japan",-771530,"JA",1993,"Male",771530
11,"Japan",-776368,"JA",1993,"Male",776368
12,"Japan",-793820,"JA",1993,"Male",793820
13,"Japan",-825341,"JA",1993,"Male",825341
14,"Japan",-850084,"JA",1993,"Male",850084
15,"Japan",-881489,"JA",1993,"Male",881489
16,"Japan",-909739,"JA",1993,"Male",909739
17,"Japan",-955454,"JA",1993,"Male",955454
18,"Japan",-1000519,"JA",1993,"Male",1000519
19,"Japan",-1045790,"JA",1993,"Male",1045790
20,"Japan",-1050606,"JA",1993,"Male",1050606
21,"Japan",-1029454,"JA",1993,"Male",1029454
22,"Japan",-1001931,"JA",1993,"Male",1001931
23,"Japan",-974459,"JA",1993,"Male",974459
24,"Japan",-945716,"JA",1993,"Male",945716
25,"Japan",-927970,"JA",1993,"Male",927970
26,"Japan",-874390,"JA",1993,"Male",874390
27,"Japan",-767017,"JA",1993,"Male",767017
28,"Japan",-879473,"JA",1993,"Male",879473
29,"Japan",-830332,"JA",1993,"Male",830332
30,"Japan",-809062,"JA",1993,"Male",809062
31,"Japan",-787181,"JA",1993,"Male",787181
32,"Japan",-780780,"JA",1993,"Male",780780
33,"Japan",-789616,"JA",1993,"Male",789616
34,"Japan",-797853,"JA",1993,"Male",797853
35,"Japan",-778371,"JA",1993,"Male",778371
36,"Japan",-773936,"JA",1993,"Male",773936
37,"Japan",-814509,"JA",1993,"Male",814509
38,"Japan",-839283,"JA",1993,"Male",839283
39,"Japan",-852730,"JA",1993,"Male",852730
40,"Japan",-906711,"JA",1993,"Male",906711
41,"Japan",-962931,"JA",1993,"Male",962931
42,"Japan",-1029220,"JA",1993,"Male",1029220
43,"Japan",-1115749,"JA",1993,"Male",1115749
44,"Japan",-1198241,"JA",1993,"Male",1198241
45,"Japan",-1181217,"JA",1993,"Male",1181217
46,"Japan",-1034588,"JA",1993,"Male",1034588
47,"Japan",-727618,"JA",1993,"Male",727618
48,"Japan",-807737,"JA",1993,"Male",807737
49,"Japan",-925839,"JA",1993,"Male",925839
50,"Japan",-912769,"JA",1993,"Male",912769
51,"Japan",-930949,"JA",1993,"Male",930949
52,"Japan",-891229,"JA",1993,"Male",891229
53,"Japan",-804278,"JA",1993,"Male",804278
54,"Japan",-737762,"JA",1993,"Male",737762
55,"Japan",-783286,"JA",1993,"Male",783286
56,"Japan",-804273,"JA",1993,"Male",804273
57,"Japan",-801020,"JA",1993,"Male",801020
58,"Japan",-765095,"JA",1993,"Male",765095
59,"Japan",-739811,"JA",1993,"Male",739811
60,"Japan",-738834,"JA",1993,"Male",738834
61,"Japan",-723188,"JA",1993,"Male",723188
62,"Japan",-695648,"JA",1993,"Male",695648
63,"Japan",-663575,"JA",1993,"Male",663575
64,"Japan",-643164,"JA",1993,"Male",643164
65,"Japan",-618693,"JA",1993,"Male",618693
66,"Japan",-591459,"JA",1993,"Male",591459
67,"Japan",-558215,"JA",1993,"Male",558215
68,"Japan",-505913,"JA",1993,"Male",505913
69,"Japan",-441016,"JA",1993,"Male",441016
70,"Japan",-387627,"JA",1993,"Male",387627
71,"Japan",-354621,"JA",1993,"Male",354621
72,"Japan",-334139,"JA",1993,"Male",334139
73,"Japan",-323773,"JA",1993,"Male",323773
74,"Japan",-273423,"JA",1993,"Male",273423
