Age,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,65867,71072,69451,68038,66606,65268,64027,62883,61838,63979,67164,70134,69043,67809,67266,67837,70002,68913,67681,66055,71720,73207,71667,70525,72156,70431,70017,69179,71870,71844,69572,73957,74027,75565,74948,74514,79727,80828,81524,83282,83661,87329,86915,84837,85110,85176,87009,85796,87301,84017,86274,82635,85034,82381,79814,68673,68954,67678,67621,66688,76528,76323,72291,72036,69982,69127,69609,67010,66832,65892,67475,65722,65897,65012,64825,63822,62453,60493,61774,61808,61590,69641,76378,80450,82783,85600,86200,85000,85100,82400,83000,80400,82600,82400,83700,85600,88200,91100,91300,92000,92726,97507,101661,106632,110044,110040,107323,104118,101540,96767,95953,94896,89336,84980,81124,74803,72158,71893,70404,70683,73323,73481,74655,73705,74012,74001,75506,76066,79650,80641,83271,85299,85761,82874,82032,81523,82475,79916,78032,77838,77642,71817,71989,71520,72863,72545,73043,74275,76316,77786,78031,78426,79621
1,59517,59280,69250,67730,66420,65033,63743,62549,61453,60456,62989,61783,68649,67755,66539,66179,67080,69733,68526,67189,65437,66146,67807,66706,65821,67330,65954,65596,64653,67195,67543,64831,70133,69773,70842,70446,70825,75550,76425,77295,78093,79266,83448,82715,80382,80950,81195,83236,82441,83342,80314,82415,79836,81777,79420,76939,66450,67134,65387,65615,64293,74546,74880,71004,70733,68685,67845,68375,65893,65739,64829,66456,64757,65128,64248,63929,63091,61637,59869,61143,60909,60968,69186,75715,79684,82031,85211,85835,84658,84678,81654,83042,80324,82632,82392,83484,85236,87484,90283,90119,90073,93174,97261,100877,105761,109721,108988,105797,102379,99546,96764,95510,93282,87792,82541,78425,72847,70920,70691,69886,70714,73204,73361,74377,73261,73816,73788,75161,75746,79275,80620,83173,85226,86061,83091,82512,81620,82315,79931,78817,78401,72269,72382,72448,71740,73017,73004,73179,75269,77073,79351,81663,81185
2,53778,56541,56317,67427,66008,64800,63462,62218,61072,60022,59074,60469,58695,67164,66467,65268,65090,66323,69464,68139,66697,63855,64476,66222,64817,63674,65952,64584,64240,63330,65807,65992,63631,68858,68235,69671,69222,69669,74240,75194,75890,76985,78279,82265,81370,79082,79853,79901,82331,81271,82132,79401,81289,78797,80605,78255,75831,65366,66223,64710,64764,63812,73834,74524,70630,70243,68251,67335,67957,65499,65378,64557,66084,64514,64826,63896,63625,62744,61336,59658,60774,60700,60801,69083,75505,79479,81923,84955,85542,84264,84510,82022,83362,80656,82791,82447,83343,84782,86885,89415,89052,91017,93661,97206,100540,105680,108880,107612,104541,101037,99696,96471,94632,91985,86721,81286,76987,72442,70867,71059,70038,71068,73145,72943,73897,72807,73499,73464,74919,75314,79763,81040,84425,86138,86570,83603,82518,81432,82122,80158,79056,75938,73003,73067,73084,72167,73567,74009,74506,76314,78793,80196,82560
3,52212,53576,56114,55986,65604,64286,63182,61889,60692,59593,58592,58656,59936,58417,65679,65180,63999,64002,65567,69195,67753,65292,63079,63658,65165,63463,62353,65305,63906,63579,62816,64904,65285,62845,68027,67642,69090,68559,68918,73580,74463,75320,76671,77826,81657,80775,78528,79320,79235,81867,80643,81508,78978,80555,78237,79858,77498,75035,64430,65809,64240,64486,63595,73405,74353,70432,69992,67975,67011,67802,65314,65231,64301,66001,64363,64671,63695,63430,62562,61162,59496,60656,60621,60718,69069,75395,79372,81765,84772,85252,84165,84973,82417,83771,80893,82921,82362,82943,84227,86080,88529,90027,91784,93974,97139,100481,105240,107595,106350,103523,100982,99365,96289,93800,91730,85668,80182,76887,72759,71172,71361,70443,71274,73443,73170,74097,73029,73944,74038,75004,76608,81365,82077,85531,86817,87203,83631,82405,81431,82316,80382,77276,76560,73642,73473,73480,72529,74417,75044,75233,77708,79522,80900
4,50690,52039,53372,55688,55656,63781,62565,61563,60317,59167,58115,58165,58239,59404,58139,64195,63892,62729,62914,64811,68926,66515,64219,62866,63066,64291,62426,61302,64872,63310,63184,62445,64438,64694,62236,67680,67228,68736,68102,68399,73097,74081,75134,76541,77467,81211,80423,78186,78965,78710,81573,80183,81172,78659,79955,77801,79253,76860,74174,63728,65418,64013,64308,63493,73034,74269,70309,69769,67769,66794,67749,65232,65058,64376,65892,64238,64596,63558,63295,62428,61030,59412,60570,60573,60653,69095,75294,79245,81628,85106,85171,84663,85397,82841,84024,81048,82859,81991,82405,83486,86124,89570,90818,92272,94148,97123,100302,104527,106431,105315,103424,100613,99066,95933,94051,90690,84571,79959,77186,72657,71349,71756,70900,71808,73895,73631,74515,73633,74642,74383,76380,78209,82364,83054,86142,87425,87177,83533,82326,81602,82429,78991,77909,77034,74203,73835,73890,73327,75432,75764,76746,78288,80183
5,49214,50546,51866,53168,55261,55326,61959,60842,59944,58744,57642,57675,57737,57821,58872,57861,62710,62604,61459,61826,64054,67871,65574,63605,62811,62623,63707,61616,60378,64400,62919,62864,62356,64021,64190,61910,67399,66985,68420,67678,68005,72814,73911,74995,76465,77261,80905,80199,77956,78656,78280,81188,79818,80813,78451,79409,77473,78691,76134,73517,63063,65231,63866,64174,63414,72691,74223,70212,69603,67605,66615,67572,65092,65119,64385,65807,64155,64493,63482,63220,62314,60907,59287,60518,60541,60625,69002,75655,79850,81846,85136,85362,84533,85002,82242,83331,80395,82296,81868,82666,84038,87264,90406,91323,92552,94166,97137,100025,103861,105472,105204,103244,100422,98979,96343,92620,89066,83845,79705,76989,73346,72270,72599,71488,72330,74460,74420,75531,74795,75817,76428,78676,79455,83464,83956,86822,87073,86784,82956,81986,80952,81561,79540,78548,77582,74600,74243,74650,74289,76170,76774,77429,78980
6,47780,49036,50401,51692,52966,54834,54995,60136,59121,58325,57172,57225,57234,57310,57403,58340,57584,61226,61316,60189,60738,63449,66990,64938,63057,62877,62359,63199,60907,60410,64072,62592,62749,62294,63684,63927,61658,67230,66784,68158,67356,68268,72673,73793,74891,76480,77154,80660,80034,77749,78456,78057,80852,79510,80554,78286,78905,77167,78012,75547,72890,62983,65092,63738,64082,63361,72372,74206,70120,69454,67482,66573,67448,65122,65100,64388,65756,64079,64444,63427,63128,62226,61025,59178,60460,60549,60840,69151,75775,79764,81865,85306,85606,84715,85259,82455,83521,80460,82388,81759,82304,85042,88186,90954,91549,92649,94343,97158,99766,103319,105624,105039,102834,100064,98962,94328,90441,87670,83216,79231,76778,73500,72328,72544,71419,72358,74695,74776,76026,75340,76985,77770,79701,80446,84129,84522,86821,86947,86973,83202,82219,81100,82130,79978,78938,77877,75034,74903,75533,74999,76943,77450,78127
7,46389,47660,48857,50256,51518,52762,54407,54666,58313,57399,56706,56798,56809,56795,56882,56986,57807,57306,59741,60029,58920,60248,62987,66328,64330,62614,63016,62156,62720,60968,60527,63793,62404,62617,62272,63535,63719,61489,67099,66654,67956,67658,68631,72574,73689,74837,76599,77059,80516,79890,77597,78261,77885,80577,79266,80335,78128,78438,76794,77473,74922,72809,62953,64965,63651,63998,63323,72047,74184,70061,69349,67465,66465,67263,65104,65084,64401,65697,64041,64413,63360,63070,62301,61177,59059,60420,60764,60985,69248,76051,79806,82036,85554,85796,84978,85479,82628,83590,80549,82267,81681,83611,85853,88797,91220,91574,92929,94606,97177,99556,103395,105360,104390,102294,100024,97301,92572,89324,87019,82744,79047,76774,73482,72222,72452,71428,72520,75024,75173,76495,76357,77945,78887,80611,81026,84673,84585,86695,87205,87343,83416,82625,81565,82644,80466,79265,78316,75821,75853,76195,75624,77458,78023
8,46493,46322,47538,48679,50112,51344,52558,53981,54335,55001,55678,56367,56424,56392,56354,56454,56568,57276,57028,57001,58741,58648,59836,62624,65690,63783,62208,63247,61994,62885,61102,60629,63574,62223,62514,62418,63412,63546,61363,67006,66540,68303,68033,69037,72471,73608,74841,76715,77030,80385,79785,77448,78127,77728,80340,79026,80134,77997,77904,76506,76956,74852,72772,62918,64879,63572,63935,63296,71729,74174,70028,69352,67369,66580,67131,65105,65096,64429,65658,63998,64375,63294,63083,62367,61309,58949,60635,60921,61099,69018,76130,79996,82288,85757,86058,85197,85665,82704,83692,80428,82134,83680,84670,86372,89083,91279,91776,93333,94833,97201,99586,103284,105400,104091,102346,98989,96186,92029,89240,86962,82819,79270,76899,73466,72203,72528,71744,72890,75599,75722,77472,77003,78963,79832,81325,81562,85000,84731,86886,87688,87522,83634,83226,82038,83018,80803,79670,79033,76736,76534,76637,76270,78084
9,46598,46362,46255,47416,48501,49967,51171,52356,53555,54006,54667,55348,56026,56050,55976,55914,56027,56150,56409,56797,56773,58330,58469,59522,62308,65091,63312,61853,63480,61609,63060,61284,60847,63385,62057,62547,62548,63292,63396,61224,66916,66914,68707,68439,69412,72386,73582,74851,76846,77039,80251,79668,77343,78004,77609,80091,78783,79938,77756,77443,76233,76915,74849,72751,62916,64776,63484,63876,63264,71423,74178,70035,69260,67501,66572,67004,65096,65107,64484,65643,63956,64359,63262,63098,62439,61456,59159,60788,61028,62021,69063,76400,80319,82530,86063,86338,85391,85750,82803,83580,80603,85206,85283,85344,86607,89131,91532,92120,93676,95042,97286,99476,103392,105507,104121,101623,98120,95767,92004,89263,87107,83151,79413,76992,73586,72339,72843,72153,73448,76148,76717,77969,78120,79979,80499,81957,81808,85031,85027,87429,87997,87509,84276,83690,82543,83386,81254,80350,80000,77478,77076,77256,76848
